library	file	cohort	library_type	isolation_type	serial	duplicate	batch
58	/aclm350-zpool1/jlinford/frag/analysis/bams/58_filt.bam	healthy	wgs	cfdna	0	0	2
73	/aclm350-zpool1/jlinford/frag/analysis/bams/73_filt.bam	healthy	wgs	cfdna	0	0	2
74	/aclm350-zpool1/jlinford/frag/analysis/bams/74_filt.bam	healthy	wgs	cfdna	0	0	2
81	/aclm350-zpool1/jlinford/frag/analysis/bams/81_filt.bam	healthy	wgs	cfdna	0	0	2
83	/aclm350-zpool1/jlinford/frag/analysis/bams/83_filt.bam	healthy	wgs	cfdna	0	0	2
BC001_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC001_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC002_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC002_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC003_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC003_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC004_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC004_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC005_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC005_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC006_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC006_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC008_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC008_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC009_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC009_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC010_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC010_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC011_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC011_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC014_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC014_UC1_filt.bam	bladder	wgs	cfdna	0	0	2
BC015_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC015_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC016_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC016_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC017_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC017_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC018_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC018_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC019_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC019_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC020_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC020_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC021_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC021_UC1_filt.bam	bladder	wgs	cfdna	0	0	1
BC022_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC022_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC023_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC023_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC024_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC024_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC026_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC026_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC027_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC027_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC028_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC028_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
BC029_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/BC029_UC1_filt.bam	bladder	wgs	cfdna	0	0	3
NU1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU1_filt.bam	healthy	wgs	cfdna	0	1	2
NU1_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU1_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU10	/aclm350-zpool1/jlinford/frag/analysis/bams/NU10_filt.bam	healthy	wgs	cfdna	0	0	2
NU102	/aclm350-zpool1/jlinford/frag/analysis/bams/NU102_filt.bam	healthy	wgs	cfdna	0	0	2
NU103	/aclm350-zpool1/jlinford/frag/analysis/bams/NU103_filt.bam	healthy	wgs	cfdna	0	0	2
NU13	/aclm350-zpool1/jlinford/frag/analysis/bams/NU13_filt.bam	healthy	wgs	cfdna	0	0	3
NU15	/aclm350-zpool1/jlinford/frag/analysis/bams/NU15_filt.bam	healthy	wgs	cfdna	0	0	3
NU16	/aclm350-zpool1/jlinford/frag/analysis/bams/NU16_filt.bam	healthy	wgs	cfdna	0	1	2
NU16_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU16_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU18	/aclm350-zpool1/jlinford/frag/analysis/bams/NU18_filt.bam	healthy	wgs	cfdna	0	1	2
NU18_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU18_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU19	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19_filt.bam	healthy	wgs	cfdna	0	1	2
NU19_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU19R_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU19R_UC1_filt.bam	healthy	wgs	cfdna	0	0	1
NU2	/aclm350-zpool1/jlinford/frag/analysis/bams/NU2_filt.bam	healthy	wgs	cfdna	0	0	3
Nu21	/aclm350-zpool1/jlinford/frag/analysis/bams/Nu21_filt.bam	healthy	wgs	cfdna	0	0	3
NU24	/aclm350-zpool1/jlinford/frag/analysis/bams/NU24_filt.bam	healthy	wgs	cfdna	0	0	3
NU3	/aclm350-zpool1/jlinford/frag/analysis/bams/NU3_filt.bam	healthy	wgs	cfdna	0	1	2
NU3_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU3_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU31	/aclm350-zpool1/jlinford/frag/analysis/bams/NU31_filt.bam	healthy	wgs	cfdna	0	0	3
NU32_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU32_UC1_filt.bam	healthy	wgs	cfdna	0	0	1
NU33	/aclm350-zpool1/jlinford/frag/analysis/bams/NU33_filt.bam	healthy	wgs	cfdna	0	1	3
NU33_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU33_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU36	/aclm350-zpool1/jlinford/frag/analysis/bams/NU36_filt.bam	healthy	wgs	cfdna	0	1	3
NU36_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU36_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU37	/aclm350-zpool1/jlinford/frag/analysis/bams/NU37_filt.bam	healthy	wgs	cfdna	0	0	3
NU39	/aclm350-zpool1/jlinford/frag/analysis/bams/NU39_filt.bam	healthy	wgs	cfdna	0	0	3
NU5	/aclm350-zpool1/jlinford/frag/analysis/bams/NU5_filt.bam	healthy	wgs	cfdna	0	0	3
NU55	/aclm350-zpool1/jlinford/frag/analysis/bams/NU55_filt.bam	healthy	wgs	cfdna	0	0	3
NU68	/aclm350-zpool1/jlinford/frag/analysis/bams/NU68_filt.bam	healthy	wgs	cfdna	0	1	3
NU68_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU68_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU69	/aclm350-zpool1/jlinford/frag/analysis/bams/NU69_filt.bam	healthy	wgs	cfdna	0	0	3
NU70	/aclm350-zpool1/jlinford/frag/analysis/bams/NU70_filt.bam	healthy	wgs	cfdna	0	1	3
NU70_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU70_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU71	/aclm350-zpool1/jlinford/frag/analysis/bams/NU71_filt.bam	healthy	wgs	cfdna	0	1	3
NU71_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU71_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU74	/aclm350-zpool1/jlinford/frag/analysis/bams/NU74_filt.bam	healthy	wgs	cfdna	0	0	2
NU75	/aclm350-zpool1/jlinford/frag/analysis/bams/NU75_filt.bam	healthy	wgs	cfdna	0	1	3
NU75_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/NU75_UC1_filt.bam	healthy	wgs	cfdna	0	1	1
NU83	/aclm350-zpool1/jlinford/frag/analysis/bams/NU83_filt.bam	healthy	wgs	cfdna	0	0	2
NU90	/aclm350-zpool1/jlinford/frag/analysis/bams/NU90_filt.bam	healthy	wgs	cfdna	0	0	2
NU97	/aclm350-zpool1/jlinford/frag/analysis/bams/NU97_filt.bam	healthy	wgs	cfdna	0	0	2
PB-106_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-106_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-162_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-162_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-177_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-177_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-196_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-196_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-198_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-198_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-209_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-209_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-226_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-226_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-239_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-239_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-270_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-270_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-276_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-276_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-278_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-278_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-280_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-280_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-284_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-284_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-305_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-305_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-306_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-306_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-313_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-313_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-324_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-324_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-365_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-365_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-377_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-377_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-394_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-394_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB-397_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB-397_UC1_filt.bam	mPC	wgs	cfdna	0	0	3
PB032_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB032_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB046_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB046_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB056_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB056_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB069_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB069_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB108_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB108_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB132_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB132_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB142_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB142_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB163_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB163_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB165_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB165_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB188_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB188_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB203_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB203_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB204_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB204_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB206_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB206_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB208_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB208_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB210_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB210_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB242_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB242_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB251_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB251_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB258_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB258_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB266_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB266_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB269_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB269_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
PB402_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/PB402_UC1_filt.bam	mPC	wgs	cfdna	0	0	2
RCC001_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC001_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC001_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC001_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC002_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC002_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC002_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC002_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC003_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC003_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC003_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC003_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC004_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC004_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC004_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC004_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC005_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC005_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
RCC005_UC2	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC005_UC2_filt.bam	RCC	wgs	cfdna	1	0	2
RCC006_UC1	/aclm350-zpool1/jlinford/frag/analysis/bams/RCC006_UC1_filt.bam	RCC	wgs	cfdna	0	0	2
